Key,Description,Standard,pt-br,uk
SAY.Flowchart.1.Miss,,Done with another day!,Acabamos mais um dia!,На сьогодні впорались!
SAY.Flowchart.4.Ellie,,"Yesyesyes, whew!! :D","Simsimsim, ufa!!  :D","Та-та-та, хух! :D"
SAY.Flowchart.106.Miss,,How did you feel about today?,Como você se sente sobre hoje?,Що думаєш про сьогоднішню зміну?
SAY.Flowchart.107.Ellie,,"That was pretty easy! I think I’m getting quite good at fixing the windows.{wc}Say, what are you doing afterwards? Want to get some coffee or something?{wc}I actually need to go buy groceries--","Isso foi bem fácil! Acho que estou ficando boa em reparar janelas.{wc}Me diga, o que você vai fazer depois? Quer tomar um café ou algo?{wc}Na verdade, eu tenho que fazer umas compras...","Вона була досить легкою! Здається, я покращую свої навички в лагодженні вікон.{wc}Скажіть, що Ви робитимете після цього? Хочете піти на каву чи чогось іншого?{wc}Мені насправді потрібно зайти в продуктовий--"
SAY.Flowchart.108.Miss,,Ellie! It’s 3 AM!,Ellie! São 3 da manhã!,Еллі! Зараз 3 ночі!
SAY.Flowchart.109.Ellie,,"Hehe, I’m just kidding!{wc}We should hang out sometime outside of work though, when it’s actually bright outside.","Hehe, estou só brincando!{wc}Nós deveríamos sair juntas algum dia sem ser no trabalho, quando ainda estiver claro lá fora.","Хе-хе, я жартую!{wc}Але я вважаю, що нам варто одного разу піти погуляти після роботи вдень."
SAY.Flowchart.110.Miss,,"Oh yes, that would be nice.","Ah sim, isso seria ótimo.","О, точно, було би добре."
SAY.Flowchart.112.Ellie,,{i}(We never did end up meeting up outside of work.){wc}(And I totally forgot to celebrate my 3 week anniversary.),{i}(Nós acabamos nunca nos encontrando fora do trabalho.){wc}(E eu acabei esquecendo completamente de comemorar o marco de 3 semanas no emprego.),{i}(Нам ще ніколи не випадало зустрітися поза роботою.){wc}(І я зовсім забула відмітити свої перші відпрацьовані 3 тижні.)
SAY.Flowchart.119.Ellie,,Yet another work day...!,Mais um dia de trabalho...!,Черговий робочий день!..
SAY.Flowchart.120.Ellie,,"I’ve been at this job for how long now?{wc}I’m not sure, but sometimes it seems a little boring. Other times, I guess it’s quite intriguing. ","Já estou nesse trabalho a quanto tempo?{wc}Não tenho certeza, mas às vezes parece um pouco entediante. Já em outras vezes, eu acho que é bem intrigante.","Скільки я вже на цій роботі?{wc}Не впевнена, але іноді вона дещо нудненька. В інші рази вона буває, гадаю, досить інтригуючою. "
SAY.Flowchart.121.Ellie,,"Like, how are these crimes committed so quietly? There’s literally no news about it!{wc}And where is my paycheck coming from?","Tipo, como esses crimes são cometidos tão silenciosamente? Não tem literalmente nenhuma notícia sobre eles!{wc}E de onde meu pagamento está vindo?",Цебто як ці злочини вчиняють настільки тихо? Немає від слова жодних новин про них!{wc}І звідки йде моя зарплата?
SAY.Flowchart.162.Ellie,,"But I don’t really care too much, as long as I get the money!","Mas eu não me importo tanto assim, desde que eu seja paga!","Та мене це не надто хвилює, поки я отримую свої грошики!"
SAY.Flowchart.122.Ellie,,"{i}I walk into Cinnamon Hotel through its back door.{wc}I’ve never heard of this hotel before; it looks a bit run-down and shabby on the outside, just perfectly blending into the surrounding buildings.{wc}But the inside’s design is pretty modern, though rather empty.{wc}I slightly hope there’s something cinnamon-related while climbing the emergency stairs to the room Miss told me to meet at.","{i}Eu entro pela porta dos fundos do Hotel Canela.{wc}Eu nunca tinha ouvido falar desse hotel; por fora ele parece um pouco desgastado e decadente, harmonizando perfeitamente com os prédios ao redor dele.{wc}Mas por dentro tem um design moderno, embora esteja meio vazio.{wc}Eu tenho uma pequena esperança de que tenha algo relacionado à canela enquanto subo as escadas de emergência até a sala na qual Dona me disse para encontrá-la.","{i}Я заходжу в готель «Кориця» через чорний хід.{wc}Я ніколи не чула про нього; ззовні він має дещо зашкарублий вигляд, ідеально зливаючись із будинками довкола.{wc}Утім усередині він досить новий, та радше порожній.{wc}З невеликою надією на щось пов’язане з корицею, я підіймаюсь аварійними сходами до кімнати, в якій ми з Панною домовилися зустрітися."
SAY.Flowchart.130.Miss,,Hey Ellie! How’s it going?,"E aí, Ellie! Como você está?","Гей, Еллі! Як справи?"
SAY.Flowchart.131.Ellie,,"Ahh, doing good! Just another day, you know?","Ahh, estou bem! Apenas mais um dia, sabe?","Ах, усе гаразд! Черговий день, знаєте."
SAY.Flowchart.132.Miss,,"Of course. {wi}We have a hotel room to clean today -- it’s a new experience for you, but I’m sure you will do great!{wc}I’m here if you need any help, though I’ll mainly be taking care of some other things for a bit or checking over the things you clean.{wc}Our client is pretty important, and we don’t want him to be dissatisfied.{wc}There’s a lot of things this time, not just broken glass!","Claro.{wi} Nós temos um quarto de hotel para arrumar hoje... é uma nova experiência para você, mas eu tenho certeza que você se sairá bem!{wc}Estou aqui se precisar de ajuda, embora eu esteja principalmente cuidando de outras coisas e, também, checando as coisas que você arrumar.{wc}Nosso cliente é muito importante, e não queremos que ele fique insatisfeito.{wc}Temos muitas coisas para arrumar dessa vez, não apenas vidro quebrado!","Авжеж. {wi}Сьогодні ми прибираємо готельний номер -- це новий для тебе досвід, та я впевнена, що ти добре впораєшся!{wc}Раптом що, звертайся до мене, хоча я переважно піклуватимуся про деякі інші речі або перевірятиму ті, які ти вже прибрала.{wc}Наш клієнт доволі важливий, і ми не хочемо його розчарувати.{wc}На цей раз буде побільше, ніж просто бите скло!"
SAY.Flowchart.133.Ellie,,OH MELON! {wi}Something new? {wi}Apart from fixing broken glass?,AH CÉUS! {wi}Algo novo? {wi}Além de reparar vidro quebrado?,Ой леле! {wi}Щось новеньке? {wi}Крім битого скла?
SAY.Flowchart.134.Miss,,"Haha, yeah~! I know you’ll pick it up in a heartbeat, though.{wc}Do you have any questions?","Haha, sim~! Entretanto, eu sei que você pegará o jeito rapidamente.{wc}Alguma pergunta?","Ха-ха, так~! Я знаю, що ти з усім розберешся за мить.{wc}Маєш якісь запитання?"
SAY.Flowchart.137.Miss,,"Mmm.. it’s hard to tell. All I can really say is that this is a bigger incident than anything we’ve done before.{wc}...My gut tells me that it is related to a smuggling issue, but I’m afraid I can’t confirm anything, dear.","Hum... é difícil dizer. O que eu posso dizer é que este é um incidente maior do que qualquer outro que já arrumamos.{wc}...Algo me diz que está relacionado com contrabando, embora eu não possa confirmar nada, querida.","М-м... складно сказати. Але можу сказати напевно, що цього разу ми маємо справу з чимось значно більшим.{wc}...Моя інтуїція підказує мені, що це щось пов’язане з контрабандою, але не ручаюся, люба"
SAY.Flowchart.139.Ellie,,...!!{wc}WAA a smuggling issue? What kind? That sounds super dangerous..,"...!!{wc}QUÊE, contrabando? De que tipo? Isso parece muito perigoso...",...!!{wc}К-контрабанда? Яка саме? Звучить дуже небезпечно...
SAY.Flowchart.140.Miss,,"Haha~, I wish I could answer your questions, sweetheart.{wc}Unfortunately, there’s nothing else I can say about the situation except that you’ll be safe.","Haha~, eu queria poder responder a todas as suas perguntas, meu bem.{wc}Infelizmente, não há nada mais que eu possa dizer a não ser, é claro, que você estará segura.","Ха-ха~, хотіла б я відповісти на твоє питання, дорогенька.{wc}На жаль, більше я нічого не можу сказати в цій ситуації, крім того, що ти в безпеці."
SAY.Flowchart.141.Ellie,,"Ahh, but how do you know I’ll be safe? What about you?{wc}Can you pleasee, pretty please let me in on some ~trade secrets~?","Ahh, mas como você sabe que estarei segura? E quanto a você?{wc}Você poderia, por favorzinho, me contar alguns ~segredos do ofício~?","Ах, але ж звідки Ви можете знати, що я в безпеці? Як щодо Вас?{wc}Не могли б Ви, будь ласонька, дуже-дуже прошу, посвяти мене в ~комерційну таємницю~?"
SAY.Flowchart.142.Miss,,"Oh Ellie, you’re so cute~","Ah, Ellie, você é tão fofa~","Ой, Еллі, ти така миленька~"
SAY.Flowchart.168.Miss,,"I’m sorry though, no questions, remember?","Mas me desculpe, sem perguntas, lembra?","Але вибач, жодних питань, пам’ятаєш?"
SAY.Flowchart.143.Ellie,,"Awww hmph, okay.","Awww humpf, tá bom.","Е-е-ех, мгм, гаразд."
MENU.Flowchart.146,,What's today's crime?,Qual o crime de hoje?,Який на цей раз злочин?
MENU.Flowchart.148,,Will today be hard?,Hoje vai ser difícil?,Сьогодні буде тяжко?
MENU.Flowchart.164,,I'm ready to go!,Vamos começar!,Я готова розпочати!
SAY.Flowchart.150.Miss,,"Let’s just say that there is a lot more work to do. But don’t worry, I’ll give you a raise.","Vamos apenas dizer que tem muito mais trabalho para fazermos. Mas não se preocupe, vou te dar um aumento.","Скажімо, сьогодні доведеться попрацювати набагато більше. Але не хвилюйся, я підвищу твою зарплатню."
SAY.Flowchart.151.Ellie,,!!!! $$???!?$>/?,!!!! $$???!?$>\?,!!!! $$???!?$>/?
SAY.Flowchart.152.Ellie,,"{i}(Aaahh! If I get paid $1,500 normally, I can only imagine how much a raise will be!!){wc}(I’m gonna be RICHH $$$!)","{i}(Aaahh! Se recebo 7 mil reais normalmente, imagino quanto ganharei com um aumento!!){wc}(Serei RICA $$$!)","{i}(А-ах! Якщо я звичайно отримую $1500, уявіть, скільки я зароблятиму з підвищенням!!!){wc}(Я стану заможненькою паняночкою$$$!)"
SAY.Flowchart.153.Ellie,,"Hehe, I bet this work will be nothing that we can’t do together!","Hehe, Aposto que este trabalho não será nada que não possamos fazer juntas!","Хе-хе, упевнена, ця роботонька не стане нам на заваді!"
SAY.Flowchart.154.Miss,,That’s a given.,Isso é certo.,Ніде правди діти.
SAY.Flowchart.159.Miss,,Alright! Let’s make it a good one!,Tá bem! Vamos fazer um bom trabalho!,"Добре, зробімо це!"
CHARACTER.Ellie,,Ellie,Ellie,Еллі
CHARACTER.Miss,,Miss,Dona,Панна
