Key,Description,Standard,pt-br,uk,ru,zh-TW,fr
SAY.Flowchart.18.Ellie,,{i}(Oh. Wow.. uh... this may be hard.),{i}(Ah. Uau.. é.. isso talvez seja difícil.),{i}(Ой. Йой... е-е... із цим можуть виникнути проблеми.),Ого... эээ... это может быть трудно.,{i}（歐哇！這應該是至今最大的挑戰吧？）,{i}(Oh. Ouah.. euh… ça risque d’être compliqué).
SAY.Flowchart.57.Ellie,,"Miss, do you perhaps.. want to share the cherries together? It might help my nerves.","Dona, talvez você.. gostaria de dividir as cerejas comigo? Comê-las talvez ajude a me acalmar.","Панно, Ви... не хочете поділитися вишнями? Це допоможе мені заспокоїти нерви.","Мисс, вы не хотите поделиться вишнями? Это может помочь мне успокоиться.",小姐......妳可以跟我分一些櫻桃嗎？這可以分散注意力，緩和恐怖的氣氛。,"Miss, vous voulez peut-être… partager des cerises avec moi ? Ça pourrait m’aider à me calmer."
SAY.Flowchart.58.Miss,,"Oh, of course! You were the one who bought them anyway.","Ah, Claro! De qualquer forma, foi você quem as comprou.","Ох, звісно! Зрештою, ти їх принесла.","О, конечно! В конце концов, это ты их купил.",好啊！反正那盒櫻桃也是妳買的。,"Oh, bien sûr ! Vous les avez amenées de toute manière."
SAY.Flowchart.59.Ellie,,But I gave them to you though! So they’re yours now!,"Mas eu dei elas pra você! Então elas são suas, agora!",Але я їх подарувала Вам! Тож тепер вони Ваші!,Но я же отдала их тебе! Так что теперь они твои!,可是那是我送妳的！所以那盒櫻桃就是妳的了！,Mais je vous les ai données ! Donc elles sont à vous maintenant !
SAY.Flowchart.60.Miss,,"Hahah, okay, okay! Let’s share them then.","Hahah, tá bom, tá bom! Vamos dividi-las, então.","Ха-ха, гаразд-гаразд! Тоді розділімо їх.","Хаха, ладно, ладно! Давай тогда поделимся.",那我就分一些給妳吧！,"Hahah, d’accord, d’accord. Partagons les alors."
SAY.Flowchart.61.Ellie,,"{i}(...On second thought, being in this environment makes me feel a little sick. I don’t think I can even talk much, there’s just this unsettling vibe.){wc}(Oh well, I guess I’ll just get this done as soon as possible and get back home!)","{i}(...Pensando bem, estar nesse ambiente faz eu me sentir um pouco doente. Eu não acho que consiga nem falar muito, só sinto essa energia perturbadora.){wc}(Enfim, acho que vou só fazer meu trabalho o mais rápido possível e voltar pra casa!)","{i}(...Якщо так подумати, мені стає зле лишень від перебування в такі обстановці. Не думаю, що я навіть зможу багато говорити в такій важкій атмосфері.){wc}(Що ж, постараюся впоратися з усім якнайшвидше й нарешті піти додому!)","{i}(...Знаешь, а если подумать, эта обстановка меня немного мутит. Кажется, я даже не могу нормально говорить — тут какая-то тревожная атмосфера.){/i} {wc}(Ну да ладно, лучше поскорее с этим разобраться и вернуться домой!){/wc}",{i}（這裡的氣氛沈重的讓我有點不舒服。我真的在這種不適的空間內講不出什麼話）{wc}（我還是趕緊把這事做完離開這鬼地方吧！）,"{i}(...À bien y réfléchir, être dans cet environnement me rend un peu malade. Je ne pense même pas pouvoir beaucoup parler, il y a juste cette atmosphère perturbante.){wc}Et bien, je suppose que je vais finir tout ça le plus tôt possible et rentrer à la maison !)"
SAY.Flowchart.2.Ellie,,"{i}(Cobweb, cobweb, go away...--)","{i}(Teiazinha, teiazinha, vá embora...)","{i}(Павутиння, павутиння, йди геть...--)","{i}(Паутина, паутина, исчезни...--)",{i}（蜘蛛蜘蛛快走吧！）,"{i}(Toile d’araignée, toile d’araignéee, vas-t-en...--)"
SAY.Flowchart.62.Ellie,,WAAAAUGH!,AAAAAHHH!,АААААААА!,ААААААААААА!!,哇啊啊啊啊啊啊！,AAAAHHH !
SAY.Flowchart.3.Miss,,Ellie!? What’s wrong??,Ellie!? O que foi??,Еллі?! Що трапилось???,Элли!? Что случилось??,艾莉！？發生什麼事了？,Ellie ?! Qu’est-ce qui ne va pas ??
SAY.Flowchart.63.Ellie,,"SPIDER, SPIDER, SPIDERRHGHEIKGVFSFNJ!!!","ARANHA, ARANHA, ARANHARHGHEIKGVFSFNJ!!!","ПАВУК, ПАВУК, ПАВАГЖЗВГА!!!","ПАУК, ПАУК, ПАУКРГХГЕИКГВФСФНД!!!",有蜘蛛！蜘蛛！蜘蛛蜘蛛蜘蛛！！,"ARAIGNÉE, ARAIGNÉE, ARAIGNÉERRHGHEIKGVFSFNJ!!!"
SAY.Flowchart.5.Miss,,"Oh, I can get that for you.","Ah, eu posso pegá-la pra você.","Ах, я можу його прибрати.","О, я могу снять его для тебя.",這我也可以幫妳處理掉，別擔心的。,"Oh, je peux te l’enlever."
SAY.Flowchart.23.Ellie,,{i}(Miss picks up the spider with her hands and moves it outside the doorway.),{i}(Dona pega a aranha com as mãos e a leva para fora.),{i}(Панна бере павука голими руками й викидає за двері.),{i}(Мисс берет паука руками и выносит его за дверь.),{i}（小姐毫不費力地將蜘蛛移到門外。）,{i}(Miss attrape l’araignée avec ses mains et la pose à l’embrasure de la porte.)
SAY.Flowchart.66.Miss,,"There, better?","Pronto, melhor?","Ось, так краще?","Вот, теперь лучше?",這樣有好一點了嗎？,"Voilà, ça va mieux ?"
SAY.Flowchart.65.Ellie,,Waahh.. yes... maybe I shouldn’t be a maid.,Aaahh.. sim.. talvez eu não devesse ser uma faxineira.,А-ах... так... мені не варто бути покоївкою...,"Ух... да... может, мне не стоит быть горничной.",哇啊啊......我說不定想放棄當女僕這行。,Ouaahh.. oui… peut-être que je ne devrais pas être femme de ménage.
SAY.Flowchart.64.Miss,,"Oh, nonsense, everyone’s bound to be scared of something.","Ah, bobagem, todos estão fadados a terem medo de algo.","Нісенітниця, всі мають власні страхи.","О, чепуха, у каждого есть свои страхи!",每個人當然有自己害怕的東西啦～沒關係！,"Oh, n’importe quoi, tout le monde est destiné à avoir peur de quelque chose."
SAY.Flowchart.67.Ellie,,{i}(She’s so nice... are all employers like this?),{i}(Ela é tão legal... todos os patrões são assim?),{i}(Вона така лагідна... всі роботодавці такі?),{i}(Она такая милая... все ли работодатели такие?),{i}（她真的對我好好啊！所有的主管都對員工這麼好嗎？）,{i}(Elle est si gentille… tous les employeurs sont comme ça ?)
SAY.Flowchart.7.Ellie,,"{i}(These pillows are really stiff. I can’t imagine someone sleeping with these, it must be so uncomfortable.){wc}(My neck hurts just thinking about it...)","{i}(Esses travesseiros são muito duros. Mal posso imaginar alguém dormindo com eles, deve ser muito desconfortável.){wc}(Meu pescoço dói só de imaginar...)","{i}(Ці подушки надто жорсткі. Не можу й уявити, щоби хтось спав на таких, це, мабуть, дуже незручно.){wc}(Мені мулить шию лиш від однієї думки про них...)","{i}(Эти подушки такие жесткие. Не могу представить, как кто-то спит на них — должно быть, это так неудобно.){/i} {wc}(Моя шея уже болит, просто думая об этом...)",{i}（這些枕頭真的好硬啊！那一定睡起來很不舒服吧？）{wc}（光是想像自己睡在那上面的樣子就令人脖子痛。）,"{i}(Ces coussins sont vraiment rigides. Je ne peux pas imaginer quelqu’un dormir avec, ça doit être si incomfortable.){wc}(Mon cou me fait mal rien que d’y penser…)"
