Key,Description,Standard,pt-br,uk,ru
SAY.Flowchart.1.Miss,,Done with another day!,Acabamos mais um dia!,На сьогодні впорались!,Закончился еще один день!
SAY.Flowchart.4.Ellie,,"Yesyesyes, whew!! :D","Simsimsim, ufa!!  :D","Та-та-та, хух! :D","Да-да-да, фух!! :D"
SAY.Flowchart.106.Miss,,How did you feel about today?,Como você se sente sobre hoje?,Що думаєш про сьогоднішню зміну?,Как ты себя чувствуешь сегодня?
SAY.Flowchart.107.Ellie,,"That was pretty easy! I think I’m getting quite good at fixing the windows.{wc}Say, what are you doing afterwards? Want to get some coffee or something?{wc}I actually need to go buy groceries--","Isso foi bem fácil! Acho que estou ficando boa em reparar janelas.{wc}Me diga, o que você vai fazer depois? Quer tomar um café ou algo?{wc}Na verdade, eu tenho que fazer umas compras...","Вона була досить легкою! Здається, я покращую свої навички в лагодженні вікон.{wc}Скажіть, що Ви робитимете після цього? Хочете піти на каву чи чогось іншого?{wc}Мені насправді потрібно зайти в продуктовий--","Это было довольно легко! Кажется, я уже неплохо справляюсь с ремонтом окон. А что ты будешь делать потом? Может, выпьем кофе или еще что-нибудь? Вообще-то мне нужно купить продукты."
SAY.Flowchart.108.Miss,,Ellie! It’s 3 AM!,Ellie! São 3 da manhã!,Еллі! Зараз 3 ночі!,Элли! Сейчас три часа ночи!
SAY.Flowchart.109.Ellie,,"Hehe, I’m just kidding!{wc}We should hang out sometime outside of work though, when it’s actually bright outside.","Hehe, estou só brincando!{wc}Nós deveríamos sair juntas algum dia sem ser no trabalho, quando ainda estiver claro lá fora.","Хе-хе, я жартую!{wc}Але я вважаю, що нам варто одного разу піти погуляти після роботи вдень.","Я просто шучу. Надо будет как-нибудь пообщаться вне работы, когда на улице будет светло."
SAY.Flowchart.110.Miss,,"Oh yes, that would be nice.","Ah sim, isso seria ótimo.","О, точно, було би добре.","О да, это было бы здорово."
SAY.Flowchart.112.Ellie,,{i}(We never did end up meeting up outside of work.){wc}(And I totally forgot to celebrate my 3 week anniversary.),{i}(Nós acabamos nunca nos encontrando fora do trabalho.){wc}(E eu acabei esquecendo completamente de comemorar o marco de 3 semanas no emprego.),{i}(Нам ще ніколи не випадало зустрітися поза роботою.){wc}(І я зовсім забула відмітити свої перші відпрацьовані 3 тижні.),{i}(Мы так и не встретились вне работы.){wc}(И я совершенно забыла отметить свою трёхнедельную годовщину.)
SAY.Flowchart.119.Ellie,,Yet another work day...!,Mais um dia de trabalho...!,Черговий робочий день!..,Еще один рабочий день...!
SAY.Flowchart.120.Ellie,,"I’ve been at this job for how long now?{wc}I’m not sure, but sometimes it seems a little boring. Other times, I guess it’s quite intriguing. ","Já estou nesse trabalho a quanto tempo?{wc}Não tenho certeza, mas às vezes parece um pouco entediante. Já em outras vezes, eu acho que é bem intrigante.","Скільки я вже на цій роботі?{wc}Не впевнена, але іноді вона дещо нудненька. В інші рази вона буває, гадаю, досить інтригуючою. ","Сколько времени я уже работаю здесь?{wc}Не уверена, но иногда это кажется немного скучным. В другие моменты, думаю, это довольно интересно"
