Key,Description,Standard,pt-br,uk,ru
SAY.Minigame1.18.Ellie,,"Geez, this place looks like a mess. Granted, all of the places I’ve cleaned so far also looked like a mess.{wc}Where should we start? Hmm.. ","Caramba, esse lugar está uma bagunça. É sempre assim, todos os lugares que eu limpei até agora também estavam muito bagunçados.{wc}Por onde devo começar? Hmm...","Боже, який гармидер. Звісно, всі попередні місця, в яких я прибирала, виглядали не ліпше.{wc}Де би розпочати? Гм-м... ","Чёрт, здесь просто бардак. Хотя, все места, которые я чистила до этого, тоже были в таком же состоянии.{wc}С чего начнём? Хмм..."
SAY.Minigame1.19.,,"{i}Try dragging the screen around, then clicking on things to clean them up.{wc}You can use the buttons in the top right or the scroll wheel to zoom in and out.{wc}Find all the places to clean up to fill the bar at the top!{/i}","{i}Tente arrastar a tela, então clique nas coisas para arrumá-las.{wc}Você pode usar os botões no canto superior direito ou a roda de rolagem do mouse para ampliar ou reduzir a imagem.{wc}Encontre todos os lugares que precisam ser arrumados para zerar o número no topo da tela!{/i}","{i}Спробуй поперетягувати екран, відтак тисни на речі, які треба виправити.{wc}Ти можеш використовувати кнопки у верхньому правому куті або коліщатко прокрутки, щоби збільшувати або зменшувати масштаб.{wc}Знайди всі місця, які треба прибрати, аби заповнити шкалу згори!{/i}","{i}Попробуй перемещать экран, затем щёлкать по предметам, чтобы их очистить.{wc}Ты можешь использовать кнопки в верхнем правом углу или колесико мыши, чтобы увеличивать и уменьшать масштаб.{wc}Найди все места, которые нужно очистить, чтобы заполнить шкалу сверху!{/i}"
SAY.Minigame1.2.Ellie,,Why would the painting be tilted?,Por que a pintura estaria inclinada?,Чому це картина похилилася?,Почему картина наклонена?
SAY.Minigame1.3.Miss,,"Probably a novice move, they might have bumped into the painting while attempting to open a drawer.{wc}Or they were searching for a secret safe?",Provavelmente foi um erro de principiante. Eles devem ter esbarrado na pintura enquanto tentavam abrir uma gaveta.{wc}Ou eles estavam procurando por um cofre secreto?,"Мабуть, ознака новачків. Вони могли задіти картину, коли намагалися відкрити шухляду.{wc}Або ж вони шукали прихований сейф?","Наверное, это ошибка новичка, могли случайно задеть картину, пытаясь открыть ящик.{wc}Или искали какой-то секретный сейф?"
SAY.Minigame1.4.Ellie,,A secret safe would be cool!,Um cofre secreto seria legal!,Прихований сейф -- звучить круто!,Секретный сейф — это было бы круто!
SAY.Minigame1.5.Miss,,"Aww sweetheart, I’m pretty sure no one hides secret safes behind such easily removable paintings anymore.","Aww querida, tenho quase certeza de que ninguém mais esconde cofres secretos atrás de pinturas tão fáceis de tirar da parede.","О, люба, я впевнена, ніхто більше не ховає сейфи за такими картинами, що їх легко зняти.","Ой, дорогая, я почти уверена, что никто уже не прячет секретные сейфы за такими легко снимающимися картинами."
SAY.Minigame1.7.Ellie,,Why is this glass so easily broken?,Por que esse vidro é tão fácil de quebrar?,Чому це скло так легко розлетілося на друзки?,Почему это стекло так легко ломается?
SAY.Minigame1.8.Miss,,"Darling, I’m pretty sure they just brought a hammer.","Meu bem, estou certa de que eles trouxeram um martelo.","Люба, я гадаю, вони мали молот.","Дорогая, я уверена, что они просто принесли молоток."
SAY.Minigame1.11.Ellie,,{i}(It’s such a mess...),{i}(Está tudo uma bagunça...),{i}(Такий безлад...),Такой беспорядок...
SAY.Minigame1.14.Miss,,"Be careful, don’t touch any glass! You don’t want to get cut.","Tenha cuidado, não toque em nenhum pedaço de vidro! Você não quer acabar se cortando.","Обережно, не чіпай скалки! Можеш порізатися.","Будь осторожна, не трогай стекло! Не хочется пораниться."
SAY.Minigame1.13.Ellie,,"Ah! Yes, thank you!!","Ah! Sim, obrigada!!","А! Так, дякую!","Ох, да, спасибо!!"
SAY.Minigame1.17.Ellie,,This store should’ve had an alarm system.,Essa loja deveria ter um sistema de alarme.,У крамниці мала би бути сигналізаційна система.,В этом магазине должен был быть охранный сигнал.
SAY.Minigame1.16.Miss,,"They probably did, which is why we’re here!","Eles provavelmente tinham, e é por isso que estamos aqui!","Напевно, вона була, тому-то ми й тут!","Наверное, был, поэтому мы и здесь!"
CHARACTER.Miss,,Miss,Dona,Панна,Мисс
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли
